cell_id,lat,lon,temp_anomaly_c,ndvi,drought_index,humidity_pct,wind_speed_kmh,slope_deg,elevation_m,land_cover,historical_fire_count,had_fire
liguria-000,43.78,7.49,1.45,0.551,0.477,69.2,28.5,9.1,37,agriculture,1,0
liguria-001,43.78,7.62579,2.39,0.483,0.622,79.0,4.1,0.0,0,shrubland,1,0
liguria-002,43.78,7.76158,0.39,0.605,0.461,51.8,9.7,0.0,90,forest,0,0
liguria-003,43.78,7.89737,0.74,0.477,0.52,58.0,8.1,0.0,113,forest,3,0
liguria-004,43.78,8.03316,5.06,0.413,0.443,62.6,19.0,3.1,0,shrubland,1,0
liguria-005,43.78,8.16895,0.96,0.432,0.43,81.7,8.0,0.0,0,urban,0,0
liguria-006,43.78,8.30474,1.18,0.518,0.356,72.3,11.8,0.0,15,agriculture,1,0
liguria-007,43.78,8.44053,4.7,0.425,0.502,76.1,4.1,8.8,0,forest,1,0
liguria-008,43.78,8.57632,5.99,0.596,0.348,60.9,21.2,0.0,0,urban,0,0
liguria-009,43.78,8.71211,1.09,0.48,0.53,61.0,2.6,13.8,0,shrubland,1,0
liguria-010,43.78,8.84789,2.06,0.695,0.58,73.6,14.0,0.5,106,urban,0,0
liguria-011,43.78,8.98368,2.91,0.387,0.494,70.5,11.9,10.7,93,forest,0,0
liguria-012,43.78,9.11947,4.57,0.562,0.416,74.4,13.2,2.1,8,grassland,3,0
liguria-013,43.78,9.25526,1.32,0.434,0.504,68.5,2.6,5.8,135,urban,0,0
liguria-014,43.78,9.39105,2.21,0.507,0.413,72.2,7.8,0.0,56,forest,1,0
liguria-015,43.78,9.52684,3.43,0.521,0.562,71.3,18.4,0.0,0,grassland,0,0
liguria-016,43.78,9.66263,3.02,0.406,0.23,76.2,31.3,2.8,44,water,0,0
liguria-017,43.78,9.79842,2.05,0.567,0.41,76.5,9.2,5.9,0,forest,0,0
liguria-018,43.78,9.93421,2.34,0.749,0.211,57.0,17.2,0.2,105,forest,0,0
liguria-019,43.78,10.07,0.85,0.546,0.271,52.0,11.0,0.0,0,grassland,0,0
liguria-020,43.86182,7.49,2.49,0.509,0.645,75.3,9.5,0.0,105,forest,1,0
liguria-021,43.86182,7.62579,2.45,0.585,0.589,76.8,7.1,0.0,46,forest,1,0
liguria-022,43.86182,7.76158,3.05,0.538,0.395,59.1,10.0,0.0,274,shrubland,1,0
liguria-023,43.86182,7.89737,2.11,0.528,0.302,52.4,16.1,2.9,109,agriculture,0,0
liguria-024,43.86182,8.03316,3.34,0.436,0.126,68.1,17.1,9.0,76,forest,1,0
liguria-025,43.86182,8.16895,3.99,0.597,0.417,74.7,3.2,2.2,85,forest,2,0
liguria-026,43.86182,8.30474,2.96,0.448,0.772,81.7,6.6,0.0,191,urban,1,0
liguria-027,43.86182,8.44053,3.19,0.435,0.534,71.4,3.9,1.1,171,shrubland,0,0
liguria-028,43.86182,8.57632,2.84,0.556,0.415,64.3,10.4,1.3,177,urban,0,0
liguria-029,43.86182,8.71211,2.77,0.469,0.538,60.1,7.6,14.8,179,shrubland,3,0
liguria-030,43.86182,8.84789,1.91,0.534,0.295,67.4,12.9,0.0,384,urban,0,0
liguria-031,43.86182,8.98368,3.15,0.587,0.446,64.9,13.5,0.0,79,grassland,0,0
liguria-032,43.86182,9.11947,2.66,0.419,0.494,59.2,0.8,12.5,66,forest,3,1
liguria-033,43.86182,9.25526,5.28,0.616,0.471,83.7,10.0,5.0,30,urban,0,0
liguria-034,43.86182,9.39105,4.66,0.394,0.577,81.6,22.3,5.7,201,shrubland,4,1
liguria-035,43.86182,9.52684,3.24,0.466,0.523,76.4,6.6,3.0,263,forest,1,0
liguria-036,43.86182,9.66263,1.86,0.663,0.562,59.9,6.4,4.3,114,forest,3,0
liguria-037,43.86182,9.79842,1.44,0.64,0.399,74.1,19.7,6.9,26,grassland,0,0
liguria-038,43.86182,9.93421,4.2,0.51,0.59,72.4,17.6,0.0,28,forest,1,0
liguria-039,43.86182,10.07,3.09,0.405,0.677,70.8,4.3,7.5,205,forest,0,0
liguria-040,43.94364,7.49,3.62,0.508,0.397,74.5,16.4,0.0,344,forest,2,0
liguria-041,43.94364,7.62579,0.95,0.554,0.407,69.6,5.2,6.5,320,shrubland,0,0
liguria-042,43.94364,7.76158,4.16,0.485,0.674,70.5,6.4,5.6,175,shrubland,3,1
liguria-043,43.94364,7.89737,3.59,0.52,0.491,69.6,4.3,0.8,282,shrubland,0,0
liguria-044,43.94364,8.03316,1.71,0.477,0.682,67.3,3.1,4.4,269,forest,0,0
liguria-045,43.94364,8.16895,2.48,0.518,0.461,50.3,10.9,0.8,281,forest,1,0
liguria-046,43.94364,8.30474,3.36,0.363,0.688,65.2,2.7,0.0,359,grassland,0,0
liguria-047,43.94364,8.44053,3.11,0.476,0.529,60.1,11.2,2.4,281,shrubland,3,0
liguria-048,43.94364,8.57632,2.69,0.587,0.545,54.3,10.9,0.0,336,grassland,1,0
liguria-049,43.94364,8.71211,2.92,0.365,0.701,78.0,8.9,6.5,263,forest,2,1
liguria-050,43.94364,8.84789,2.74,0.517,0.47,78.4,6.9,0.0,289,forest,3,0
liguria-051,43.94364,8.98368,3.23,0.484,0.401,75.4,5.8,8.8,330,forest,1,0
liguria-052,43.94364,9.11947,4.81,0.544,0.46,66.6,3.8,0.0,80,shrubland,1,0
liguria-053,43.94364,9.25526,-0.03,0.477,0.568,75.4,25.9,1.1,216,shrubland,0,0
liguria-054,43.94364,9.39105,2.76,0.687,0.326,64.6,8.6,0.8,198,agriculture,1,0
liguria-055,43.94364,9.52684,3.26,0.543,0.59,66.2,8.3,12.5,178,shrubland,1,1
liguria-056,43.94364,9.66263,3.4,0.433,0.449,55.8,4.5,6.5,222,shrubland,0,0
liguria-057,43.94364,9.79842,2.6,0.541,0.651,67.7,24.1,3.3,434,grassland,1,0
liguria-058,43.94364,9.93421,0.94,0.531,0.226,65.0,6.1,7.5,151,forest,0,0
liguria-059,43.94364,10.07,3.44,0.499,0.419,54.1,12.0,0.0,371,shrubland,1,0
liguria-060,44.02545,7.49,5.39,0.589,0.343,61.4,13.7,6.6,180,shrubland,0,0
liguria-061,44.02545,7.62579,1.48,0.499,0.446,61.2,10.9,18.8,342,shrubland,1,1
liguria-062,44.02545,7.76158,4.35,0.578,0.575,76.2,2.6,7.6,401,forest,2,1
liguria-063,44.02545,7.89737,2.92,0.457,0.524,69.0,16.0,7.2,452,agriculture,0,0
